"user_id","month","language","age","total_users","paid_users","total_revenue","arppu","mrr","new_paid_users","revenue_new_users","new_mrr","churned_users","previous_paid_users","churn_rate","churned_revenue","revenue_churn_rate","expansion_mrr","contraction_mrr"
K/6KHxREKTlFZXRfBNVNuQ==,4,ru,19,2,1,41.46,41.46,82.92,1,41.46,82.92,0,0,0,0,0.00000000000000000000,0.00,0.00
F9Jtg6+0qPUKWDgBJxG8cA==,4,ru,18,2,1,48.45,48.45,96.90,1,48.45,96.90,0,0,0,0,0.00000000000000000000,0.00,0.00
"7GE5h/3N3lcro3K9T3aujw==",4,ru,32,3,1,58.20,58.20,174.60,0,0,,0,1,0,58.20,0.60061919504643962848,97.56,0.00
HRBsRwGu5mkTvZBTNpA0tQ==,4,ru,17,3,1,59.64,59.64,178.92,1,59.64,178.92,0,0,0,0,0.00000000000000000000,0.00,0.00
lCD23Awt3KotauWenCRr5w==,5,uk,20,3,1,90.75,90.75,272.25,0,0,,0,1,0,90.75,0,176.37,0.00
an5Xsrpir8vvhTb50gnppQ==,5,uk,43,1,1,15.51,15.51,15.51,1,15.51,15.51,1,0,0,0,0.00000000000000000000,0.00,0.00
GEAVJz1gd3SThbDZR01fcA==,5,uk,14,2,1,48.30,48.30,96.60,0,0,,0,1,0,48.30,3.1141199226305609,0.00,165.48
BTD3ZjLKfkT6ZRBT9zRwtg==,5,uk,14,4,1,65.73,65.73,262.92,1,65.73,262.92,0,0,0,0,0.00000000000000000000,0.00,0.00
zmZPan/KZoyrIR2r/SvLdA==,5,ru,15,6,1,133.14,133.14,798.84,1,133.14,798.84,0,0,0,0,0.00000000000000000000,0.00,0.00
s27V1tbCAysovKSY1XcdWQ==,5,uk,34,1,1,12.15,12.15,12.15,0,0,,0,1,0,12.15,0.01520955385308697612,0.00,66.81
fXlo39/YD2z9SEVShTXp6w==,5,uk,34,1,1,17.34,17.34,17.34,1,17.34,17.34,1,0,0,0,0.00000000000000000000,0.00,0.00
V7J42heW8l19wiBJ8UpRyw==,5,ru,25,2,1,42.72,42.72,85.44,0,0,,0,1,0,42.72,2.4636678200692042,11.76,0.00
ShEJVi+TtuQlvdw2uetd/Q==,5,uk,22,1,1,27.87,27.87,27.87,0,0,,0,1,0,27.87,0.32619382022471910112,0.00,500.01
o55dseByUOl9s5IQCz1kuQ==,5,uk,22,1,1,16.44,16.44,16.44,0,0,,0,1,0,16.44,0.58988159311087190527,0.00,417.96
ZxxZ87IcpgSh4lQ/VSIjnA==,5,uk,22,2,1,38.76,38.76,77.52,0,0,,0,1,0,38.76,2.3576642335766423,0.00,6.84
prNQwR2IPPsvGpFgOpcGaQ==,5,uk,14,4,1,95.52,95.52,382.08,0,0,,0,1,0,95.52,1.2321981424148607,366.42,0.00
Fx9+2aYPOHAS3fdXpLQ9Pg==,5,ru,35,2,1,31.56,31.56,63.12,0,0,,1,1,0,31.56,0.08260050251256281407,50.58,0.00
pLOCMIX+imLIzoDehgdOPA==,5,uk,22,3,1,68.16,68.16,204.48,1,68.16,204.48,0,0,0,0,0.00000000000000000000,0.00,0.00
xVwGwMaEG1yZydv5VIfEQA==,5,uk,22,1,1,17.4,17.40,17.40,1,17.4,17.40,0,0,0,0,0.00000000000000000000,0.00,0.00
"06RPvlsFPCmM9ag+iSM/Ag==",5,ru,34,2,1,28.32,28.32,56.64,0,0,,0,1,0,28.32,1.6275862068965517,44.61,0.00
"7GE5h/3N3lcro3K9T3aujw==",5,ru,32,5,1,118.95,118.95,594.75,0,0,,0,1,0,118.95,2.1001059322033898,420.15,0.00
FLqAK4qKiMkvlLBgGwbBnQ==,5,ru,31,2,1,24.36,24.36,48.72,1,24.36,48.72,0,0,0,0,0.00000000000000000000,0.00,0.00
"4oH5e29koOH9zNYW8Kwcsg==",5,uk,28,1,1,12.99,12.99,12.99,1,12.99,12.99,0,0,0,0,0.00000000000000000000,0.00,0.00
Grpkzd4XIHh+ZbTMNxnUGg==,5,ru,30,2,1,41.88,41.88,83.76,0,0,,0,1,0,41.88,3.2240184757505774,12.66,0.00
"3rCdNEPkh3vwmYB0BVadEw==",5,ru,27,1,1,22.86,22.86,22.86,1,22.86,22.86,0,0,0,0,0.00000000000000000000,0.00,0.00
RQBsCvxlogTNUidSygqgcQ==,5,uk,28,1,1,12.18,12.18,12.18,1,12.18,12.18,0,0,0,0,0.00000000000000000000,0.00,0.00
ilnMSoPJHAYMegDX02XG+w==,5,uk,25,3,1,64.86,64.86,194.58,0,0,,1,1,0,64.86,5.3251231527093596,86.52,0.00
Jp0hnV9XOJGVV5jpFhlqgQ==,5,uk,25,1,1,18.06,18.06,18.06,0,0,,0,1,0,18.06,0.09281529448041936479,0.00,150.42
orbgZNBGuhZZx63HTAbyIw==,5,uk,25,6,1,155.97,155.97,935.82,0,0,,0,1,0,155.97,8.6362126245847176,749.43,0.00
"72brUr/DKItStlTen5pHYg==",5,uk,24,1,1,19.92,19.92,19.92,0,0,,0,1,0,19.92,0.02128614477143040328,0.00,4.23
QZBiEFECZAgVl5IkN9/cFw==,5,en,16,5,1,91.17,91.17,455.85,1,91.17,455.85,0,0,0,0,0.00000000000000000000,0.00,0.00
"3Whh6FLR1MSfsuHKVdCEYQ==",5,uk,21,1,1,12.36,12.36,12.36,0,0,,0,1,0,12.36,0.02711418229680816058,0.00,166.65
er3/fOrRpmyqiRaC0CaFcg==,5,uk,21,1,1,47.22,47.22,47.22,1,47.22,47.22,0,0,0,0,0.00000000000000000000,0.00,0.00
Fqu+/F0rn1G4YP3f3yHA1Q==,5,uk,21,1,1,20.73,20.73,20.73,0,0,,0,1,0,20.73,0.43900889453621346887,0.00,5.55
Dbff3x5cRk6/tUY3WQdzFQ==,5,uk,21,1,1,31.2,31.20,31.20,0,0,,0,1,0,31.2,1.5050651230101302,0.00,150.51
q/Tz1C31XWaBUDrRn2ezDw==,5,uk,21,1,1,17.64,17.64,17.64,1,17.64,17.64,0,0,0,0,0.00000000000000000000,0.00,0.00
B8zuTsAC2iJ98u2nlv/fUw==,5,uk,21,2,1,39.96,39.96,79.92,1,39.96,79.92,0,0,0,0,0.00000000000000000000,0.00,0.00
lP6BWSFF4OZeWp0jrAHY9g==,5,uk,29,1,1,13.2,13.20,13.20,1,13.2,13.20,0,0,0,0,0.00000000000000000000,0.00,0.00
S+4OKFlwA3L8VcjOt8TurA==,5,uk,29,1,1,15.24,15.24,15.24,1,15.24,15.24,0,0,0,0,0.00000000000000000000,0.00,0.00
BDvlXttM/hbupcLic+5ZWg==,5,uk,29,1,1,12.93,12.93,12.93,1,12.93,12.93,0,0,0,0,0.00000000000000000000,0.00,0.00
"787jk0VnxM8/sv/0TkvO6A==",5,uk,20,2,1,36.75,36.75,73.50,0,0,,0,1,0,36.75,2.8422273781902552,0.00,86.97
HJccOn6v5KHqBa8wRu42oQ==,5,uk,20,1,1,18.84,18.84,18.84,0,0,,0,1,0,18.84,0.25632653061224489796,0.00,8.76
qEF/fPDQLJPXIx6RiSIP1A==,5,uk,20,1,1,21.84,21.84,21.84,1,21.84,21.84,0,0,0,0,0.00000000000000000000,0.00,0.00
"4b7l8C489HEJirtoe7xtFg==",5,uk,20,2,1,26.40,26.40,52.80,0,0,,0,1,0,26.40,1.2087912087912088,37.86,0.00
xiXTXOEbWU+HnGOUmgc9/w==,5,uk,20,4,1,73.29,73.29,293.16,0,0,,0,1,0,73.29,1.3880681818181818,0.00,206.04
jVhb69DTRT5TSWYEiUrlbg==,5,uk,20,2,1,54.27,54.27,108.54,0,0,,0,1,0,54.27,0.18512075317232910356,0.00,8.34
Z7/6qvk8WKH3uR6IMYlCxw==,5,uk,30,1,1,12.09,12.09,12.09,1,12.09,12.09,0,0,0,0,0.00000000000000000000,0.00,0.00
